run_id,region,overlay_unit_id,hex_id,intersection_area_km2,is_primary
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000748_r+001673,0.678807,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000748_r+001674,5.214087,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000747_r+001672,1.917504,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000746_r+001671,0.058153,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000746_r+001672,0.235583,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_db46850d79dd,h6000_q-000745_r+001671,0.15971,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_3dac61f6af84,h6000_q-000738_r+001658,4.475203,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c0b017082e3a,h6000_q-000740_r+001658,4.047037,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_c0b017082e3a,h6000_q-000739_r+001658,0.455973,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_2e42026814cf,h6000_q-000739_r+001659,0.924365,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_2e42026814cf,h6000_q-000738_r+001659,1.369429,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_efba321bdca3,h6000_q-000739_r+001658,2.670324,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_efba321bdca3,h6000_q-000739_r+001659,0.000177,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_efba321bdca3,h6000_q-000738_r+001658,0.280943,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_dba79fb0595b,h6000_q-000740_r+001659,9.238784,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_dba79fb0595b,h6000_q-000740_r+001660,4.073706,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_dba79fb0595b,h6000_q-000739_r+001659,1.974633,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_b4daafc53619,h6000_q-000737_r+001658,2.187651,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_f2297a5ff785,h6000_q-000738_r+001658,0.000753,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_f2297a5ff785,h6000_q-000738_r+001659,2.0037,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_f2297a5ff785,h6000_q-000737_r+001658,10.820299,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_1c226c82ed33,h6000_q-000739_r+001658,1.790567,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_1c226c82ed33,h6000_q-000738_r+001657,4.059072,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_808807b43c61,h6000_q-000738_r+001657,2.175672,True
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000748_r+001668,0.18054,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000748_r+001669,0.014576,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000747_r+001667,0.549974,False
geography_v1_3_islands_006r_20260809,norway_skerries,isl_u_fc5b0b5ad6f2,h6000_q-000747_r+001668,2.518389,False
