hex_id,hex_land_km2,sicily_km2,sardinia_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
h6000_q-000296_r+000940,18.206484573358537,0.0,18.206484573358537,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000941,18.18751892184639,0.0,18.18751892184639,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000942,18.168558895442963,0.0,18.168558895442963,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000943,18.149604532115937,0.0,18.149604532115937,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000944,18.13065586995697,0.0,18.13065586995697,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000945,18.111712946792604,0.0,18.111712946792604,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000946,18.092775800508498,0.0,18.092775800508498,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000947,18.073844468698503,0.0,18.073844468698503,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000948,18.054918988994597,0.0,18.054918988994597,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000949,18.035999398929597,0.0,18.035999398929597,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000950,18.017085735809328,0.0,18.017085735809328,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000951,17.9981780369339,0.0,17.9981780369339,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000296_r+000952,17.979276339551927,0.0,17.979276339551927,0.0,0.0,CONTROLLED,sardinia,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
