landmass,parent_hex_id,land_fragment_id,land_subject_or_component_id,land_area_km2,other_land_in_hex_km2,hex_total_land_km2,fragment_share_of_hex,other_land_share_of_hex,canonical_water_type,is_terrestrial_hex,whole_hex_assigned,outcome
Great Britain,h6000_q-000789_r+001456,lfr_c4fa34be5517ed,hsub_great_britain_main_island,0.471388392,0.122500509,0.593888902,0.7937,0.2063,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000736_r+001296,lfr_b1b3183b388b0b,hsub_great_britain_main_island,0.177962381,0.043651104,0.221613484,0.803,0.197,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000868_r+001545,lfr_400a4e47372b56,hsub_great_britain_main_island,1.714093178,0.419939553,2.134032731,0.8032,0.1968,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000836_r+001527,lfr_dc2482b4535010,hsub_great_britain_main_island,0.630936536,0.151726984,0.782663521,0.8061,0.1939,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000867_r+001558,lfr_5bf67248c8a3c8,hsub_great_britain_main_island,0.079448452,0.018455064,0.097903516,0.8115,0.1885,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000855_r+001492,lfr_d0522d1058a71f,hsub_great_britain_main_island,0.18848768,0.042517814,0.231005494,0.8159,0.1841,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000636_r+001299,lfr_f65562114f3ddf,hsub_great_britain_main_island,4.677092993,1.032104892,5.709197884,0.8192,0.1808,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000856_r+001500,lfr_ccd358adc0b1f7,hsub_great_britain_main_island,0.386558704,0.084791285,0.471349989,0.8201,0.1799,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000766_r+001452,lfr_f7386d8fc1a401,hsub_great_britain_main_island,0.02992543,0.006183367,0.036108797,0.8288,0.1712,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000854_r+001558,lfr_b40d3b2f72febe,hsub_great_britain_main_island,0.147313494,0.028245413,0.175558906,0.8391,0.1609,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000850_r+001557,lfr_3c72dc1ad07b33,hsub_great_britain_main_island,0.004410878,0.000796149,0.005207027,0.8471,0.1529,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
Great Britain,h6000_q-000856_r+001497,lfr_6c6f2a628879ee,hsub_great_britain_main_island,0.068779282,0.011823157,0.080602439,0.8533,0.1467,OCEAN,False,False,AUTHORISED_FRAGMENT_CONTROLLED_OTHER_COMPONENT_LAND_REMAINS_UNOWNED
