hex_id,hex_land_km2,great_britain_km2,ireland_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
h6000_q-000803_r+001368,10.963076402942658,0.0,10.963076402942658,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001369,10.948760035673141,0.0,10.948760035673141,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001370,10.934457212005615,0.0,10.934457212005615,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001371,10.920167934345246,0.0,10.920167934345246,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001372,10.90589220513916,0.0,10.90589220513916,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001373,9.916548550281934,0.0,9.916548550281934,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001381,5.611980617426698,0.0,5.611554499575298,0.0004261178514000494,7.593002906618026e-05,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001382,10.763880559732437,0.0,10.763880559732437,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001383,10.749754004550933,0.0,10.749754004550933,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001384,10.735641022119522,0.0,10.735641022119522,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001385,10.721541614160538,0.0,10.721541614160538,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001386,10.91356713539505,0.0,10.91356713539505,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001387,9.341812191823188,0.0,9.341812191823188,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001388,6.002226310619046,0.0,6.002226310619046,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001389,7.874210476989728,0.0,7.874210476989728,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001390,8.670315253937753,0.0,8.670315253937753,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001391,10.637230317344665,0.0,10.637230317344665,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001392,10.623225973220825,0.0,10.623225973220825,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
h6000_q-000803_r+001393,10.60923521521759,0.0,10.60923521521759,0.0,0.0,CONTROLLED,ireland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
