hex_id,canonical_water_type,is_terrestrial_hex,land_fraction,hex_land_km2,mainland_fragment_km2,other_component_km2,land_subject_or_component_id,candidate_land_fragment_id,spain_safe_km2,portugal_safe_km2,spain_region_km2,portugal_region_km2,safe_interior_status,frontier_band_status,special_case_status,mixed_land_status,proposed_control_status,proposed_controller,basis
h6000_q-000668_r+001045,OCEAN,False,0.052182,0.848278,0.841475,0.006803,hsub_european_mainland,lfr_1eec2c5663625e,0.0,0.0,0.841475,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000669_r+001006,OCEAN,False,0.027335,0.463655,0.459556,0.004098,hsub_european_mainland,lfr_d812f665c8e0ab,0.0,0.0,0.459556,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000669_r+001007,OCEAN,False,0.435035,7.375515,7.350175,0.02534,hsub_european_mainland,lfr_4ef68db88da26e,0.0,0.0,7.350175,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000669_r+001008,OCEAN,False,0.050936,0.862826,0.85777,0.005056,hsub_european_mainland,lfr_01413daa3f4349,0.0,0.0,0.85777,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000669_r+001010,OCEAN,False,0.143938,2.432455,2.222922,0.209533,hsub_european_mainland,lfr_2431eac91fd897,0.0,0.0,2.222922,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000669_r+001033,OCEAN,False,0.371811,6.12398,6.115161,0.008819,hsub_european_mainland,lfr_044fbd1f96aa1d,0.0,0.0,6.115161,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000669_r+001045,OCEAN,False,0.298788,4.857667,4.854363,0.003304,hsub_european_mainland,lfr_0567847a07acb5,0.0,0.0,4.854363,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000670_r+001010,OCEAN,False,0.080477,1.360119,0.000895,1.359224,hsub_european_mainland,lfr_595a44584470ef,0.0,0.0,0.000895,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000670_r+001011,OCEAN,False,0.311625,5.257711,5.210299,0.047412,hsub_european_mainland,lfr_4021e28757b1ae,0.0,0.0,5.210299,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000670_r+001012,OCEAN,False,0.30701,5.175708,5.175708,0.0,hsub_european_mainland,lfr_966291914ce48d,0.0,0.0,5.175708,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000670_r+001034,OCEAN,False,0.007382,0.1214,0.113506,0.007894,hsub_european_mainland,lfr_90f9bf96482995,0.0,0.0,0.113506,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000670_r+001044,OCEAN,False,0.043113,0.701649,0.687007,0.014642,hsub_european_mainland,lfr_4783ebde9cfec3,0.0,0.0,0.687007,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000671_r+001008,OCEAN,False,0.079084,1.338678,1.172892,0.165786,hsub_european_mainland,lfr_551d7245e0310d,0.0,0.0,1.172892,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000671_r+001009,OCEAN,False,0.196634,3.325551,3.321426,0.004124,hsub_european_mainland,lfr_a2e7b8ee013ac8,0.0,0.0,3.321426,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000671_r+001010,OCEAN,False,0.447951,7.566234,7.546815,0.019419,hsub_european_mainland,lfr_10e9685fa023e6,0.0,0.0,7.546815,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000671_r+001011,OCEAN,False,0.40021,6.752955,6.752955,0.0,hsub_european_mainland,lfr_ea50d6ffa56fa6,0.0,0.0,6.752955,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000671_r+001034,OCEAN,False,0.379724,6.249002,6.242467,0.006535,hsub_european_mainland,lfr_c47c4f6507ccda,0.0,0.0,6.242467,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000671_r+001042,OCEAN,False,0.284942,4.647057,4.639564,0.007493,hsub_european_mainland,lfr_d6e9b58a80da4f,0.0,0.0,4.639564,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000671_r+001043,OCEAN,False,0.466757,7.604197,7.578073,0.026124,hsub_european_mainland,lfr_2085a0d6e02810,0.0,0.0,7.578073,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000672_r+001008,OCEAN,False,0.043941,0.743758,0.632478,0.11128,hsub_european_mainland,lfr_82b4d25581f360,0.0,0.0,0.632478,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000672_r+001033,OCEAN,False,0.28015,4.614857,4.61413,0.000727,hsub_european_mainland,lfr_00e95256f624d2,0.0,0.0,4.61413,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000672_r+001034,OCEAN,False,0.199805,3.288233,3.261658,0.026575,hsub_european_mainland,lfr_01ef58c9d228b7,0.0,0.0,3.261658,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000672_r+001035,OCEAN,False,0.037202,0.61119,0.61119,0.0,hsub_european_mainland,lfr_4042813a824cb1,0.0,0.0,0.61119,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000672_r+001041,OCEAN,False,0.034479,0.563056,0.553312,0.009744,hsub_european_mainland,lfr_11479d7d2301e8,0.0,0.0,0.553312,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000673_r+001034,OCEAN,False,0.080502,1.325159,1.312053,0.013106,hsub_european_mainland,lfr_b574f23a83f5e8,0.0,0.0,1.312053,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000673_r+001036,OCEAN,False,0.154052,2.52887,2.52887,0.0,hsub_european_mainland,lfr_982f86a7cb9afc,0.0,0.0,2.52887,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000673_r+001037,OCEAN,False,0.439789,7.211585,7.192193,0.019392,hsub_european_mainland,lfr_b3cf476701d2b8,0.0,0.0,7.192193,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000673_r+001039,OCEAN,False,0.204872,3.35323,3.325727,0.027503,hsub_european_mainland,lfr_3993877728d596,0.0,0.0,3.325727,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000674_r+001010,OCEAN,False,0.035213,0.594988,0.594358,0.000629,hsub_european_mainland,lfr_e1165ee5bdbd00,0.0,0.0,0.001238,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000674_r+001011,OCEAN,False,0.091318,1.5414,1.5414,0.0,hsub_european_mainland,lfr_579354c1e8ee83,0.0,0.0,1.5414,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000674_r+001012,OCEAN,False,0.185364,3.12476,3.10652,0.01824,hsub_european_mainland,lfr_16f13710d7fc49,0.0,0.0,3.10652,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000674_r+001015,OCEAN,False,0.293908,4.939782,4.939782,0.0,hsub_european_mainland,lfr_aec15a165b80a4,0.0,0.0,4.939782,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,SINGLE_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000674_r+001016,OCEAN,False,0.430552,7.225564,7.152671,0.072893,hsub_european_mainland,lfr_5b9db27f2267a0,0.0,0.0,7.152671,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000674_r+001032,OCEAN,False,0.473082,7.802194,7.783602,0.018591,hsub_european_mainland,lfr_f54b324c1784a8,0.0,0.0,7.783602,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
h6000_q-000674_r+001033,OCEAN,False,0.259171,4.270466,4.265356,0.00511,hsub_european_mainland,lfr_b66c728ee0386e,0.0,0.0,4.265356,0.0,OUTSIDE,INSIDE_UNCERTAINTY_BAND,NONE,MIXED_WITH_OTHER_COMPONENT,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND
