hex_id,is_terrestrial_hex,hex_land_km2,spain_safe_km2,spain_region_km2,portugal_safe_km2,portugal_region_km2,safe_total_km2,unresolved_km2,control_status,winner,basis
h6000_q-000563_r+000902,True,18.930960718658447,18.930960718658447,18.930960718658447,0.0,0.0,18.930960718658447,0.0,CONTROLLED,SPAIN,WHOLE_HEX_LAND_INSIDE_SAFE_INTERIOR
h6000_q-000563_r+000903,True,18.911810556158066,18.911810556158066,18.911810556158066,0.0,0.0,18.911810556158066,0.0,CONTROLLED,SPAIN,WHOLE_HEX_LAND_INSIDE_SAFE_INTERIOR
h6000_q-000563_r+000904,True,18.89266449521446,18.89266449521446,18.89266449521446,0.0,0.0,18.89266449521446,0.0,CONTROLLED,SPAIN,WHOLE_HEX_LAND_INSIDE_SAFE_INTERIOR
h6000_q-000563_r+000905,True,18.87352257800293,18.87352257800293,18.87352257800293,0.0,0.0,18.87352257800293,0.0,CONTROLLED,SPAIN,WHOLE_HEX_LAND_INSIDE_SAFE_INTERIOR
h6000_q-000563_r+000906,True,18.854384846170426,18.854384846170426,18.854384846170426,0.0,0.0,18.854384846170426,0.0,CONTROLLED,SPAIN,WHOLE_HEX_LAND_INSIDE_SAFE_INTERIOR
h6000_q-000563_r+000907,True,18.835251341661454,18.835251341661454,18.835251341661454,0.0,0.0,18.835251341661454,0.0,CONTROLLED,SPAIN,WHOLE_HEX_LAND_INSIDE_SAFE_INTERIOR
h6000_q-000563_r+000908,True,18.816122106052397,18.816122106052397,18.816122106052397,0.0,0.0,18.816122106052397,0.0,CONTROLLED,SPAIN,WHOLE_HEX_LAND_INSIDE_SAFE_INTERIOR
h6000_q-000563_r+000909,True,18.79699718091202,18.79699718091202,18.79699718091202,0.0,0.0,18.79699718091202,0.0,CONTROLLED,SPAIN,WHOLE_HEX_LAND_INSIDE_SAFE_INTERIOR
h6000_q-000563_r+000910,True,18.777876607755662,11.465773230809749,18.777876607755662,0.0,0.0,11.465773230809749,7.312103376945913,UNRESOLVED,,HEX_LAND_ONLY_PARTLY_INSIDE_A_SAFE_INTERIOR
h6000_q-000563_r+000911,True,18.758760427906036,2.4295355926308035,18.758760427906036,0.0,0.0,2.4295355926308035,16.329224835275234,UNRESOLVED,,HEX_LAND_ONLY_PARTLY_INSIDE_A_SAFE_INTERIOR
h6000_q-000563_r+000912,True,18.739648682662963,0.0,18.739648682662963,0.0,0.0,0.0,18.739648682662963,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000913,True,18.72054141314316,0.0,18.72054141314316,0.0,0.0,0.0,18.72054141314316,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000914,True,18.7014386604023,0.0,18.7014386604023,0.0,0.0,0.0,18.7014386604023,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000915,True,18.68234046543884,0.0,18.68234046543884,0.0,0.0,0.0,18.68234046543884,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000916,True,18.663246869068146,0.0,18.663246869068146,0.0,0.0,0.0,18.663246869068146,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000917,True,18.644157940061092,0.0,18.644157940061092,0.0,0.0,0.0,18.644157940061092,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000918,True,18.625073662647246,0.0,18.625073662647246,0.0,0.0,0.0,18.625073662647246,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000919,True,18.605994078710555,0.0,18.605994078710555,0.0,0.0,0.0,18.605994078710555,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000920,True,18.586919283246996,0.0,18.586919283246996,0.0,0.0,0.0,18.586919283246996,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000921,True,18.56784928927231,0.0,18.56784928927231,0.0,0.0,0.0,18.56784928927231,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000922,True,18.548784136798858,0.0,18.548784136798858,0.0,0.0,0.0,18.548784136798858,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000923,True,18.529723866069794,0.0,15.724020822054863,0.0,0.0,0.0,18.529723866069794,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000924,True,18.510668517189025,0.0,4.476955420580864,0.0,0.0,0.0,18.510668517189025,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000936,True,18.28240266411209,0.0,1.0975431744992694,0.0,0.0,0.0,18.28240266411209,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000958,True,17.86599425462723,0.0,0.35689564410054686,0.0,0.0,0.0,17.86599425462723,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000959,True,17.847135599811555,0.0,5.655088364962578,0.0,0.0,0.0,17.847135599811555,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000563_r+000960,True,17.828283240203856,0.0,12.571261105604172,0.0,0.0,0.0,17.828283240203856,UNRESOLVED,,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
