region,hex_id,is_terrestrial_hex,hex_land_km2,iceland_km2,malta_km2,gozo_km2,unaudited_other_km2,unaudited_share,control_status,winner,basis
iceland,h6000_q-001328_r+001860,True,5.503545023674011,5.503545023674011,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001861,True,5.495428444789886,5.495428444789886,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001862,True,5.487322532524109,5.487322532524109,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001863,True,5.47922727684021,5.47922727684021,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001864,True,5.471142667869568,5.471142667869568,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001865,True,5.463068695487976,5.463068695487976,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001866,True,5.455005349853516,5.455005349853516,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001867,True,5.446952620872498,5.446952620872498,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001868,True,5.543604531601429,5.543604531601429,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001869,True,4.944386116637763,4.944386116637763,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001870,False,0.5932576784051372,0.5932576784051372,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001328_r+001878,False,0.091780570313273,0.091780570313273,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001328_r+001879,False,1.570631482611471,1.570631482611471,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001328_r+001880,False,0.9642197461714793,0.9628309204498914,0.0,0.0,0.0013888257215879858,0.0014403622484422689,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001328_r+001881,False,0.024204817550592124,0.021757738450754432,0.0,0.0,0.0024470790998376906,0.10109884508416084,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001328_r+001899,False,1.2785476619030778,1.2770351522790027,0.0,0.0,0.0015125096240751446,0.0011829904110292,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
iceland,h6000_q-001328_r+001900,True,4.344914406583045,4.344914406583045,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001901,True,5.179405233413696,5.179405233413696,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001902,True,5.171717771301269,5.171717771301269,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001903,True,5.164040564270019,5.164040564270019,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001904,True,5.156373602294922,5.156373602294922,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001905,True,5.1487168752174375,5.1487168752174375,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001906,True,4.614101423471007,4.614101423471007,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001907,True,2.9349128359190284,2.9349128359190284,0.0,0.0,0.0,0.0,CONTROLLED,iceland,WHOLE_LAND_SINGLE_AUTHORISED_COMPONENT
iceland,h6000_q-001328_r+001908,False,0.008787813652858138,0.008787813652858138,0.0,0.0,0.0,0.0,NOT_PRODUCED,,NOT_A_CANONICAL_TERRESTRIAL_HEX
