hex_id,is_terrestrial_hex,water_type,hex_land_km2,spain_safe_km2,portugal_safe_km2,portugal_v2_safe_km2,portugal_v3_safe_km2,winner,control_status,basis
h6000_q-000538_r+000877,True,NONE,19.410922969459534,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000536_r+000877,True,NONE,19.41092296945572,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000537_r+000877,True,NONE,19.41092296945572,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000546_r+000876,True,NONE,19.430164710479737,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000519_r+000876,True,NONE,19.430164710479737,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000520_r+000876,True,NONE,19.430164710479737,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000521_r+000876,True,NONE,19.430164710479737,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000524_r+000877,True,NONE,19.41092296945572,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000523_r+000877,True,NONE,19.410922969459534,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000526_r+000878,True,NONE,19.391684203351975,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000525_r+000892,True,NONE,19.122678627483367,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000526_r+000892,True,NONE,19.122678627483367,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000525_r+000893,True,NONE,19.103489779426575,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000524_r+000893,True,NONE,19.10348977942276,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000524_r+000894,True,NONE,19.08430460767746,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000525_r+000894,True,NONE,19.0843046076622,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000528_r+000893,True,NONE,19.10348977942276,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000529_r+000894,True,NONE,19.0843046076622,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000530_r+000894,True,NONE,19.08430460767746,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000529_r+000895,True,NONE,19.06512315517044,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000530_r+000895,True,NONE,19.065123155181883,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000531_r+000895,True,NONE,19.06512315517044,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000532_r+000896,True,NONE,19.045945464996336,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000526_r+000893,True,NONE,19.103489779426575,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000527_r+000893,True,NONE,19.10348977942276,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000527_r+000894,True,NONE,19.084304607660293,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000528_r+000894,True,NONE,19.0843046076622,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000526_r+000894,True,NONE,19.08430460767746,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000528_r+000895,True,NONE,19.06512315518379,7.111563112017751,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000527_r+000895,True,NONE,19.065123155181883,11.81615176447454,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000528_r+000896,True,NONE,19.045945464979173,19.045945464979173,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000527_r+000896,True,NONE,19.045945464996336,13.951360042140484,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000529_r+000896,True,NONE,19.045945464982985,17.797266335025252,0.0,0.0,0.0,sp_b622a2799f94,CONTROLLED,LARGEST_UNIONED_SAFE_INTERIOR_LAND_IN_THE_HEX
h6000_q-000532_r+000895,True,NONE,19.065123155181883,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000534_r+000896,True,NONE,19.045945464982985,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000533_r+000896,True,NONE,19.045945464982985,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000553_r+000894,True,NONE,19.0843046076622,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000552_r+000894,True,NONE,19.08430460767746,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000552_r+000895,True,NONE,19.065123177956583,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000554_r+000894,True,NONE,19.08430460767746,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
h6000_q-000555_r+000894,True,NONE,19.0843046076622,0.0,0.0,0.0,0.0,,UNRESOLVED,INSIDE_THE_MEASURED_UNCERTAINTY_BAND_OR_A_WITHHELD_CASE
