territorial_target_type,territorial_target_id,controller_scenario_polity_id,control_status,notes,old_status,old_controller,old_promotion_id,old_uncertainty_km,revision_id,reason,change,new_promotion_id,new_uncertainty_km
TERRESTRIAL_HEX,h6000_q-000593_r+000879,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.37 of 19.37 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000593_r+000880,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.35 of 19.35 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000874,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.47 of 19.47 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000875,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.45 of 19.45 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000876,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.43 of 19.43 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000877,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.41 of 19.41 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000878,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.39 of 19.39 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000879,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.37 of 19.37 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000880,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.35 of 19.35 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
TERRESTRIAL_HEX,h6000_q-000594_r+000881,sp_fef06587fead,CONTROLLED,"land inside the Portuguese safe interior (v3); 19.33 of 19.33 km2 of the hex's canonical land, largest unioned share",,,,,,,INSERTED,promo_b68466ea22a9,12.33
